GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
runmerunner,htwb.ai,TestClass,9,0,0,0,7,0,7,0,7,0
runmerunner,htwb.ai,RunMeMain,245,0,22,0,61,0,13,0,2,0
